PROPERTY_POST_CODE,REGION
04090,Central Ohio
03492,Central Ohio
03529,Central Texas
03959,Central Texas
05552,Central Texas
04360,Central Texas
05915,Central Texas
04171,Central Texas
00164,Northern Ohio
20815,Southern Ohio
58469,Southern Ohio
72469,Southern Ohio
87257,Southern Ohio
92668,Southern Ohio
21877,Southern Ohio
59419,Southern Ohio
06748,Southern Ohio
47647,Southern Ohio
95219,Southern Ohio
81217,Southern Ohio
18716,Southern Ohio
63994,Southern Ohio
63582,Southern Ohio
26743,Southern Ohio
30301,Southern Ohio
25757,Southern Ohio
17995,Southern Ohio
58502,Southern Ohio
97875,Southern Ohio
22345,Southern Ohio
08771,Southern Ohio
55344,Southern Ohio
54589,Southern Ohio
76873,Southern Ohio
82315,Southern Ohio
61703,Southern Ohio
35161,Southern Ohio
39398,Southern Ohio
58066,Southern Ohio
13304,Southern Ohio
09651,Southern Ohio
21875,Southern Ohio
77980,Southern Ohio
19998,Southern Ohio
48411,Southern Ohio
89783,Southern Ohio
64316,Southern Ohio
36437,Southern Ohio
68679,Southern Ohio
19533,Southern Ohio
97625,Southern Ohio
98269,Southern Ohio
50779,Southern Ohio
13048,Southern Ohio
13862,Southern Ohio
92050,Southern Ohio
77150,Southern Ohio
35058,Southern Ohio
13358,Southern Ohio
81427,Southern Ohio
15099,Southern Ohio
83271,Southern Ohio
23448,Southern Ohio
63232,Southern Ohio
83298,Southern Ohio
61321,Southern Ohio
42280,Southern Ohio
89760,Southern Ohio
33686,Southern Ohio
71931,Southern Ohio
31664,Southern Ohio
07470,Southern Ohio
22693,Southern Ohio
56929,Southern Ohio
78455,Southern Ohio
22021,Southern Ohio
20139,Southern Ohio
20674,Southern Ohio
98377,Southern Ohio
29159,Southern Ohio
61741,Southern Ohio
40536,Southern Ohio
02625,Northern Texas
02657,Northern Texas
02068,Northern Texas
01491,Northern Texas
02374,Northern Texas
00631,Northern Texas
01635,Northern Texas
00819,Northern Texas
01459,Northern Texas
77452,Southern Texas
99825,Southern Texas
42871,Southern Texas
17801,Southern Texas
82296,Southern Texas
19728,Southern Texas
70107,Southern Texas
62812,Southern Texas
95268,Southern Texas
49787,Southern Texas
50450,Southern Texas
16516,Southern Texas
40231,Southern Texas
72754,Southern Texas
79348,Southern Texas
67102,Southern Texas
76144,Southern Texas
47733,Southern Texas
31968,Southern Texas
77515,Southern Texas
62092,Southern Texas
73714,Southern Texas
85780,Southern Texas
73824,Southern Texas
82306,Southern Texas
56272,Southern Texas
45684,Southern Texas
31551,Southern Texas
82365,Southern Texas
07935,Southern Texas
92398,Southern Texas
61457,Southern Texas
52647,Southern Texas
67599,Southern Texas
37522,Southern Texas
08463,Southern Texas
20656,Southern Texas
49593,Southern Texas
77064,Southern Texas
86162,Southern Texas
82391,Southern Texas
88681,Southern Texas
93782,Southern Texas
41943,Southern Texas
94157,Southern Texas
50224,Southern Texas
18177,Southern Texas
09164,Southern Texas
82771,Southern Texas
65677,Southern Texas
65729,Southern Texas
91008,Southern Texas
49076,Southern Texas
65171,Southern Texas
17127,Southern Texas
51299,Southern Texas
36062,Southern Texas
16313,Southern Texas
35244,Southern Texas
45503,Southern Texas
81411,Southern Texas
16295,Southern Texas
78024,Southern Texas
28693,Southern Texas
46774,Southern Texas
82684,Southern Texas
73013,Southern Texas
85086,Southern Texas
71277,Southern Texas
34946,Southern Texas
59196,Southern Texas
27326,Southern Texas
40844,Southern Texas
88365,Southern Texas
46365,Southern Texas
60554,Southern Texas
96913,Southern Texas
75138,Southern Texas
91565,Southern Texas
41577,Southern Texas
47967,Southern Texas
68424,Southern Texas
46337,Southern Texas
63273,Southern Texas
83158,Southern Texas
16457,Southern Texas
60654,Southern Texas
26772,Southern Texas
91964,Southern Texas
21016,Southern Texas
62940,Southern Texas
35899,Southern Texas
67104,Southern Texas
22072,Southern Texas
13939,Southern Texas
45800,Southern Texas
08257,Southern Texas
89208,Southern Texas
26235,Southern Texas
21611,Southern Texas
20299,Southern Texas
78741,Southern Texas
33064,Southern Texas
08272,Southern Texas
50606,Southern Texas
40673,Southern Texas
41912,Southern Texas
75698,Southern Texas
31839,Southern Texas
33552,Southern Texas
57699,Southern Texas
70399,Southern Texas
50548,Southern Texas
99564,Southern Texas
93808,Southern Texas
29357,Southern Texas
58359,Southern Texas
73063,Southern Texas
13078,Southern Texas
19344,Southern Texas
77729,Southern Texas
47869,Southern Texas
71938,Southern Texas
98069,Southern Texas
27095,Southern Texas
81743,Southern Texas
51216,Southern Texas
43080,Southern Texas
93986,Southern Texas
14854,Southern Texas
14380,Southern Texas
15861,Southern Texas
89046,Southern Texas
99678,Southern Texas
86026,Southern Texas
64851,Southern Texas
06825,Southern Texas
47556,Southern Texas
89172,Southern Texas
29165,Southern Texas
79670,Southern Texas
43607,Southern Texas
07489,Southern Texas
88704,Southern Texas
57030,Southern Texas
80605,Southern Texas
76088,Southern Texas
87733,Southern Texas
13537,Southern Texas
61384,Southern Texas
27411,Southern Texas
44678,Southern Texas
38363,Southern Texas
42426,Southern Texas
46890,Southern Texas
95383,Southern Texas
07141,Southern Texas
42100,Southern Texas
28600,Southern Texas
82256,Southern Texas
54066,Southern Texas
12400,Southern Texas
38305,Southern Texas
37716,Southern Texas
98181,Southern Texas
50781,Southern Texas
53239,Southern Texas
70140,Southern Texas
58781,Southern Texas
47735,Southern Texas
19544,Southern Texas
55711,Southern Texas
99823,Southern Texas
62070,Southern Texas
90040,Southern Texas
54720,Southern Texas
06989,Southern Texas
12799,Southern Texas
53864,Southern Texas
75013,Southern Texas
90901,Southern Texas
16621,Southern Texas
58827,Southern Texas
35205,Southern Texas
10157,Southern Texas
88923,Southern Texas
23670,Southern Texas
82603,Southern Texas
83443,Southern Texas
96934,Southern Texas
47741,Southern Texas
22429,Southern Texas
62653,Southern Texas
73852,Southern Texas
06079,Southern Texas
57683,Southern Texas
64245,Southern Texas
31854,Southern Texas
76805,Southern Texas
58352,Southern Texas
76155,Southern Texas
68896,Southern Texas
03243,Central Florida
05127,Central Illinois
04242,Central New York
04421,Central New York
03442,Central New York
05366,Central New York
04953,Central New York
03325,Central New York
04158,Central New York
76510,Southern Florida
19058,Southern Florida
98693,Southern Florida
49120,Southern Florida
36351,Southern Florida
24017,Southern Florida
37408,Southern Florida
16427,Southern Florida
96890,Southern Florida
99638,Southern Florida
41724,Southern Georgia
95007,Southern Georgia
51630,Southern Georgia
74565,Southern Georgia
86673,Southern Georgia
40873,Southern Georgia
46328,Southern Georgia
61780,Southern Georgia
95250,Southern Georgia
90159,Southern Georgia
08706,Southern Georgia
76075,Southern Georgia
56281,Southern Georgia
88246,Southern Georgia
08303,Southern Georgia
00868,Northern Illinois
01039,Northern Illinois
00092,Northern Illinois
01073,Northern Illinois
00946,Northern Illinois
01782,Northern Illinois
02577,Northern Illinois
02818,Northern New York
01158,Northern New York
00269,Northern New York
02867,Northern New York
02097,Northern New York
02055,Northern New York
02879,Northern New York
02317,Northern New York
00774,Northern New York
00976,Northern New York
02563,Northern New York
64088,Southern Illinois
42028,Southern Illinois
73494,Southern Illinois
40687,Southern Illinois
15561,Southern Illinois
95534,Southern Illinois
85588,Southern Illinois
26443,Southern Illinois
37107,Southern Illinois
16352,Southern Illinois
41477,Southern Illinois
82322,Southern Illinois
35079,Southern Illinois
56431,Southern Illinois
10780,Southern Illinois
30699,Southern Illinois
14059,Southern Illinois
89196,Southern Illinois
70963,Southern Illinois
29039,Southern Illinois
62921,Southern Illinois
22289,Southern Illinois
74371,Southern Illinois
53234,Southern Illinois
67764,Southern Illinois
61262,Southern Illinois
23534,Southern Illinois
91281,Southern Illinois
51458,Southern Illinois
61491,Southern Illinois
40041,Southern Illinois
45004,Southern Illinois
07137,Southern Illinois
96305,Southern Illinois
58889,Southern Illinois
25208,Southern Illinois
37353,Southern Illinois
93613,Southern Illinois
26725,Southern Illinois
68913,Southern Illinois
97615,Southern Illinois
13348,Southern Illinois
84362,Southern Illinois
31594,Southern Illinois
78163,Southern Illinois
32949,Southern Illinois
31130,Southern Illinois
47313,Southern Illinois
36301,Southern Illinois
20392,Southern Illinois
20151,Southern Illinois
95731,Southern Illinois
83507,Southern Illinois
21883,Southern Illinois
55322,Southern Illinois
17605,Southern Illinois
97806,Southern Illinois
60741,Southern Illinois
38356,Southern Illinois
60330,Southern Illinois
38853,Southern Illinois
16941,Southern Illinois
44150,Southern Illinois
73727,Southern Illinois
41142,Southern Illinois
43176,Southern Illinois
30396,Southern Illinois
21874,Southern Illinois
11279,Southern Illinois
37233,Southern Illinois
60032,Southern Illinois
92290,Southern Illinois
94879,Southern Illinois
62425,Southern Illinois
98227,Southern Illinois
37512,Southern Illinois
89490,Southern Illinois
46484,Southern Illinois
25533,Southern Illinois
18983,Southern Illinois
27078,Southern Illinois
98635,Southern Illinois
40500,Southern Illinois
88249,Southern Illinois
67244,Southern Illinois
85260,Southern Illinois
97993,Southern Illinois
42930,Southern Illinois
23720,Southern Illinois
88040,Southern Illinois
61206,Southern Illinois
07915,Southern Illinois
72745,Southern Illinois
61345,Southern Illinois
15964,Southern Illinois
90688,Southern Illinois
61648,Southern Illinois
20132,Southern Illinois
95322,Southern Illinois
25219,Southern Illinois
87486,Southern Illinois
20490,Southern Illinois
45545,Southern Illinois
55127,Southern Illinois
21274,Southern Illinois
07698,Southern Illinois
98458,Southern Illinois
46897,Southern Illinois
81160,Southern Illinois
48072,Southern Illinois
91300,Southern Illinois
17299,Southern Illinois
74405,Southern Illinois
64888,Southern Illinois
54117,Southern Illinois
37458,Southern Illinois
87197,Southern Illinois
25893,Southern Illinois
08219,Southern Illinois
74976,Southern Illinois
30223,Southern Illinois
92924,Southern Illinois
27091,Southern Illinois
55401,Southern Illinois
15201,Southern Illinois
66794,Southern Illinois
15875,Southern Illinois
11728,Southern Illinois
58186,Southern Illinois
26133,Southern Illinois
28612,Southern Illinois
17540,Southern Illinois
84332,Southern Illinois
71381,Southern Illinois
61472,Southern Illinois
33055,Southern Illinois
08599,Southern Illinois
21344,Southern Illinois
59748,Southern Illinois
86280,Southern Illinois
28558,Southern Illinois
60993,Southern Illinois
51905,Southern Illinois
11362,Southern Illinois
91401,Southern Illinois
75501,Southern Illinois
25283,Southern Illinois
81817,Southern Illinois
35102,Southern Illinois
61752,Southern Illinois
52140,Southern Illinois
85000,Southern Illinois
88121,Southern Illinois
68569,Southern Illinois
28380,Southern Illinois
70154,Southern New York
50981,Southern New York
15944,Southern New York
65595,Southern New York
36674,Southern New York
23176,Southern New York
76330,Southern New York
56517,Southern New York
34033,Southern New York
99236,Southern New York
14934,Southern New York
46533,Southern New York
39648,Southern New York
44410,Southern New York
19896,Southern New York
26299,Southern New York
93043,Southern New York
14458,Southern New York
75274,Southern New York
14572,Southern New York
76423,Southern New York
21325,Southern New York
09041,Southern New York
38707,Southern New York
34261,Southern New York
80646,Southern New York
71012,Southern New York
32092,Southern New York
99399,Southern New York
36809,Southern New York
36962,Southern New York
88142,Southern New York
85152,Southern New York
56337,Southern New York
06053,Southern New York
55669,Southern New York
93825,Southern New York
76645,Southern New York
43669,Southern New York
55430,Southern New York
52826,Southern New York
63617,Southern New York
87431,Southern New York
98113,Southern New York
75746,Southern New York
98812,Southern New York
79575,Southern New York
26639,Southern New York
51097,Southern New York
87243,Southern New York
21735,Southern New York
92811,Southern New York
73801,Southern New York
86651,Southern New York
21187,Southern New York
88447,Southern New York
70665,Southern New York
52917,Southern New York
51499,Southern New York
61996,Southern New York
76124,Southern New York
26354,Southern New York
29529,Southern New York
79263,Southern New York
68582,Southern New York
78403,Southern New York
25747,Southern New York
44197,Southern New York
68890,Southern New York
10147,Southern New York
88193,Southern New York
72802,Southern New York
92765,Southern New York
47842,Southern New York
39366,Southern New York
08933,Southern New York
54774,Southern New York
74585,Southern New York
07281,Southern New York
27352,Southern New York
35521,Southern New York
07521,Southern New York
14813,Southern New York
55606,Southern New York
90331,Southern New York
36838,Southern New York
77561,Southern New York
26474,Southern New York
47396,Southern New York
94626,Southern New York
29475,Southern New York
21845,Southern New York
29644,Southern New York
44874,Southern New York
79407,Southern New York
77893,Southern New York
68195,Southern New York
20812,Southern New York
48772,Southern New York
97946,Southern New York
45274,Southern New York
91740,Southern New York
52289,Southern New York
26116,Southern New York
79120,Southern New York
38708,Southern New York
61581,Southern New York
57516,Southern New York
13759,Southern New York
10420,Southern New York
21796,Southern New York
20865,Southern New York
76957,Southern New York
38616,Southern New York
39370,Southern New York
73398,Southern New York
29490,Southern New York
50731,Southern New York
41235,Southern New York
59808,Southern New York
85286,Southern New York
60415,Southern New York
58975,Southern New York
16828,Southern New York
71413,Southern New York
89124,Southern New York
83157,Southern New York
16655,Southern New York
41677,Southern New York
84777,Southern New York
37008,Southern New York
69109,Southern New York
25081,Southern New York
40749,Southern New York
31758,Southern New York
54478,Southern New York
08524,Southern New York
69456,Southern New York
95457,Southern New York
42682,Southern New York
96133,Southern New York
20066,Southern New York
49062,Southern New York
15081,Southern New York
85364,Southern New York
72458,Southern New York
68199,Southern New York
80224,Southern New York
55263,Southern New York
52182,Southern New York
16831,Southern New York
07631,Southern New York
35423,Southern New York
98622,Southern New York
53334,Southern New York
73036,Southern New York
36775,Southern New York
68995,Southern New York
45174,Southern New York
86252,Southern New York
56618,Southern New York
29798,Southern New York
66967,Southern New York
95578,Southern New York
46713,Southern New York
79127,Southern New York
71852,Southern New York
73239,Southern New York
36553,Southern New York
32952,Southern New York
43808,Southern New York
58603,Southern New York
63756,Southern New York
15856,Southern New York
33042,Southern New York
94658,Southern New York
72402,Southern New York
20276,Southern New York
51148,Southern New York
91663,Southern New York
29696,Southern New York
79910,Southern New York
35068,Southern New York
85541,Southern New York
80151,Southern New York
49360,Southern New York
26998,Southern New York
19180,Southern New York
60130,Southern New York
89764,Southern New York
36677,Southern New York
71718,Southern New York
37112,Southern New York
77777,Southern New York
76945,Southern New York
82925,Southern New York
57007,Southern New York
89599,Southern New York
88611,Southern California
99770,Southern California
06452,Southern California
93612,Southern California
30591,Southern California
44033,Southern California
39045,Southern California
56809,Southern California
61435,Southern California
05740,Central Pennsylvania
04839,Central Pennsylvania
05470,Central Pennsylvania
03183,Central Pennsylvania
05727,Central Pennsylvania
04110,Central Pennsylvania
04838,Central Pennsylvania
04272,Central Pennsylvania
02594,Northern Pennsylvania
01581,Northern Pennsylvania
02106,Northern Pennsylvania
02781,Northern Pennsylvania
02672,Northern Pennsylvania
02554,Northern Pennsylvania
87214,Southern Pennsylvania
83038,Southern Pennsylvania
17800,Southern Pennsylvania
40724,Southern Pennsylvania
32491,Southern Pennsylvania
10096,Southern Pennsylvania
53732,Southern Pennsylvania
33273,Southern Pennsylvania
90536,Southern Pennsylvania
54578,Southern Pennsylvania
96321,Southern Pennsylvania
37637,Southern Pennsylvania
32736,Southern Pennsylvania
66568,Southern Pennsylvania
35506,Southern Pennsylvania
38805,Southern Pennsylvania
23647,Southern Pennsylvania
91112,Southern Pennsylvania
71514,Southern Pennsylvania
82773,Southern Pennsylvania
87501,Southern Pennsylvania
72329,Southern Pennsylvania
62729,Southern Pennsylvania
71744,Southern Pennsylvania
11080,Southern Pennsylvania
14609,Southern Pennsylvania
81315,Southern Pennsylvania
19279,Southern Pennsylvania
84787,Southern Pennsylvania
55786,Southern Pennsylvania
65951,Southern Pennsylvania
86831,Southern Pennsylvania
47229,Southern Pennsylvania
89766,Southern Pennsylvania
23473,Southern Pennsylvania
18569,Southern Pennsylvania
86151,Southern Pennsylvania
19166,Southern Pennsylvania
53294,Southern Pennsylvania
37330,Southern Pennsylvania
33546,Southern Pennsylvania
76406,Southern Pennsylvania
19097,Southern Pennsylvania
45415,Southern Pennsylvania
92144,Southern Pennsylvania
41239,Southern Pennsylvania
58300,Southern Pennsylvania
75173,Southern Pennsylvania
41462,Southern Pennsylvania
32638,Southern Pennsylvania
88463,Southern Pennsylvania
64983,Southern Pennsylvania
76055,Southern Pennsylvania
09970,Southern Pennsylvania
61796,Southern Pennsylvania
14394,Southern Pennsylvania
53257,Southern Pennsylvania
37159,Southern Pennsylvania
82553,Southern Pennsylvania
59330,Southern Pennsylvania
87796,Southern Pennsylvania
33497,Southern Pennsylvania
51588,Southern Pennsylvania
92881,Southern Pennsylvania
36171,Southern Pennsylvania
37572,Southern Pennsylvania
41852,Southern Pennsylvania
26516,Southern Pennsylvania
48833,Southern Pennsylvania
23338,Southern Pennsylvania
64397,Southern Pennsylvania
71540,Southern Pennsylvania
16215,Southern Pennsylvania
07199,Southern Pennsylvania
78349,Southern Pennsylvania
36806,Southern Pennsylvania
58318,Southern Pennsylvania
88951,Southern Pennsylvania
53717,Southern Pennsylvania
60869,Southern Pennsylvania
16080,Southern Pennsylvania
85462,Southern Pennsylvania
97843,Southern Pennsylvania
91685,Southern Pennsylvania
58690,Southern Pennsylvania
94867,Southern Pennsylvania
76424,Southern Pennsylvania
81587,Southern Pennsylvania
06006,Southern Pennsylvania
75077,Southern Pennsylvania
13995,Southern Pennsylvania
96153,Southern Pennsylvania
52720,Southern Pennsylvania
77457,Southern Pennsylvania
70888,Southern Pennsylvania
86967,Southern Pennsylvania
82471,Southern Pennsylvania
55869,Southern Pennsylvania
52241,Southern Pennsylvania
97828,Southern Pennsylvania
55364,Southern Pennsylvania
91301,Southern Pennsylvania
99064,Southern Pennsylvania
47621,Southern Pennsylvania
97208,Southern Pennsylvania
66745,Southern Pennsylvania
95434,Southern Pennsylvania
84051,Southern Pennsylvania
36203,Southern Pennsylvania
09051,Southern Pennsylvania
33207,Southern Pennsylvania
73053,Southern Pennsylvania
24804,Southern Pennsylvania
96614,Southern Pennsylvania
77751,Southern Pennsylvania
19562,Southern Pennsylvania
91990,Southern Pennsylvania
52188,Southern Pennsylvania
84846,Southern Pennsylvania
90108,Southern Pennsylvania
30036,Southern Pennsylvania
64589,Southern Pennsylvania
19698,Southern Pennsylvania
08963,Southern Pennsylvania
85663,Southern Pennsylvania
96013,Southern Pennsylvania
75706,Southern Pennsylvania
99488,Southern Pennsylvania
58121,Southern Pennsylvania
99230,Southern Pennsylvania
10014,Southern Pennsylvania
58653,Southern Pennsylvania
84936,Southern Pennsylvania
34492,Southern Pennsylvania
28235,Southern Pennsylvania
71536,Southern Pennsylvania
06999,Southern Pennsylvania
06974,Southern Pennsylvania
59547,Southern Pennsylvania
70115,Southern Pennsylvania
12983,Southern Pennsylvania
17918,Southern Pennsylvania
44562,Southern Pennsylvania
87202,Southern Pennsylvania
28250,Southern Pennsylvania
54738,Southern Pennsylvania
64737,Southern Pennsylvania
26416,Southern Pennsylvania
54624,Southern Pennsylvania
60831,Southern Pennsylvania
20610,Southern Pennsylvania
16074,Southern Pennsylvania
42507,Southern Pennsylvania
96768,Southern Pennsylvania
16227,Southern Pennsylvania
81851,Southern Pennsylvania
26386,Southern Pennsylvania
70043,Southern Pennsylvania
40073,Southern Pennsylvania
67481,Southern Pennsylvania
95628,Southern Pennsylvania
35669,Southern Pennsylvania
42300,Southern Pennsylvania
43319,Southern Pennsylvania
35749,Southern Pennsylvania
73931,Southern Pennsylvania
91958,Southern Pennsylvania
77935,Southern Pennsylvania
73565,Southern Pennsylvania
94515,Southern Pennsylvania
07450,Southern Pennsylvania
91200,Southern Pennsylvania
